"Command","Parameter","ValueFromPipeline","ValueFromPipelineByPropertyName","Mandatory","Position"
"Add-DMHostGroupToMappingView","WebSession","True","True","False","0"
"Add-DMHostToHostGroup","WebSession","True","True","False","0"
"Add-DMLunGroupToMappingView","WebSession","True","True","False","0"
"Add-DMLunToLunGroup","Lun","True","False","False","1"
"Add-DMLunToLunGroup","LunGroupName","False","True","True","3"
"Add-DMLunToLunGroup","WebSession","False","True","False","0"
"Add-DMPortGroupToMappingView","WebSession","True","True","False","0"
"Add-DMPortToPortGroup","WebSession","True","True","False","0"
"Connect-deviceManager","Hostname","True","True","True","0"
"Connect-deviceManager","Return","True","True","False","1"
"Enable-DMLunSnapshot","SnapShotName","False","True","True","1"
"Enable-DMLunSnapshot","WebSession","True","True","False","0"
"Enable-DMSnapshotConsistencyGroup","WebSession","True","True","False","0"
"Export-DeviceManager","Hostname","True","True","True","0"
"Export-DMInventory","Hostname","True","True","True","0"
"Export-DMInventory","OceanStor","True","True","True","0"
"Export-DMInventory","ReportFile","True","True","True","0"
"Export-DMStorageToExcel","OceanStor","True","True","True","1"
"Get-DMAlarms","WebSession","True","True","False","0"
"Get-DMbbus","WebSession","True","True","False","0"
"Get-DMcofferDisks","WebSession","True","True","False","0"
"Get-DMControllers","WebSession","True","True","False","0"
"Get-DMDiskbyLocation","location","False","True","True","0"
"Get-DMDiskbyLocation","WebSession","True","True","False","0"
"Get-DMdisks","WebSession","True","True","False","0"
"Get-DMdisksbyPoolId","poolId","False","True","True","0"
"Get-DMdisksbyPoolId","WebSession","True","True","False","0"
"Get-DMdisksbyPoolName","poolName","False","True","True","0"
"Get-DMdisksbyPoolName","WebSession","True","True","False","0"
"Get-DMdnsServer","WebSession","True","True","False","0"
"Get-DMEnclosures","WebSession","True","True","False","0"
"Get-DMFiberChannelInitiator","WebSession","True","True","False","0"
"Get-DMFileSystem","WebSession","True","True","False","0"
"Get-DMFileSystemSnapshots","WebSession","True","True","False","0"
"Get-DMfreeDisks","WebSession","True","True","False","0"
"Get-DMhostGroups","WebSession","True","True","False","0"
"Get-DMHostInitiators","WebSession","True","True","False","0"
"Get-DMHostLinks","WebSession","True","True","False","0"
"Get-DMhosts","WebSession","True","True","False","0"
"Get-DMhostsbyHostGroupId","HostGroupId","False","True","False","0"
"Get-DMhostsbyHostGroupId","WebSession","True","True","False","0"
"Get-DMhostsbyHostGroupName","HostGroupName","False","True","False","0"
"Get-DMhostsbyHostGroupName","WebSession","True","True","False","0"
"Get-DMhostsbyId","hostId","True","True","False","0"
"Get-DMhostsbyId","WebSession","True","True","False","0"
"Get-DMhostsbyName","Name","True","True","False","0"
"Get-DMhostsbyName","WebSession","True","True","False","0"
"Get-DMInterfaceModules","WebSession","True","True","False","0"
"Get-DMIscsiInitiator","WebSession","True","True","False","0"
"Get-DMLifs","WebSession","True","True","False","0"
"Get-DMlunGroups","WebSession","True","True","False","0"
"Get-DMluns","WebSession","True","True","False","0"
"Get-DMLunsbyFilter","filter","False","True","True","1"
"Get-DMLunsbyFilter","keyword","False","True","True","2"
"Get-DMLunsbyFilter","WebSession","True","True","False","0"
"Get-DMlunsbyLunGroup","LunGroup","True","False","True","1"
"Get-DMlunsbyLunGroup","WebSession","True","True","False","0"
"Get-DMlunsByWWN","WebSession","True","True","False","0"
"Get-DMlunsByWWN","wwn","False","True","True","1"
"Get-DMLunSnapshots","LunName","False","True","False","1"
"Get-DMLunSnapshots","WebSession","True","True","False","0"
"Get-DMMappingView","WebSession","True","True","False","0"
"Get-DMnfsFileClient","WebSession","True","True","False","0"
"Get-DMNvmeInitiator","WebSession","True","True","False","0"
"Get-DMPortBond","WebSession","True","True","False","0"
"Get-DMPortETH","WebSession","True","True","False","0"
"Get-DMPortFc","WebSession","True","True","False","0"
"Get-DMPortGroup","WebSession","True","True","False","0"
"Get-DMPortSAS","WebSession","True","True","False","0"
"Get-DMProtectionGroup","WebSession","True","True","False","0"
"Get-DMShares","WebSession","True","True","False","0"
"Get-DMSnapshotConsistencyGroup","WebSession","True","True","False","0"
"Get-DMstoragePools","WebSession","True","True","False","0"
"Get-DMSystem","WebSession","True","True","False","0"
"Get-DMvLans","WebSession","True","True","False","0"
"Get-DMvStore","WebSession","True","True","False","0"
"Get-DMWorkLoadTypes","WebSession","True","True","False","0"
"Get-DMWorkLoadTypesbyFilter","filter","False","True","True","1"
"Get-DMWorkLoadTypesbyFilter","keyword","False","True","True","2"
"Get-DMWorkLoadTypesbyFilter","WebSession","True","True","False","0"
"New-DMCifsShare","WebSession","True","True","False","0"
"New-DMdTree","dTreeName","True","False","True","1"
"New-DMdTree","fileSystemId","True","False","True","0"
"New-DMdTree","fileSystemName","True","False","True","2"
"New-DMdTree","lockingPolicy","True","False","False","0"
"New-DMdTree","path","True","False","False","0"
"New-DMdTree","quotaSwitch","True","False","False","0"
"New-DMdTree","securityStyle","True","False","False","0"
"New-DMdTree","vStoreId","True","False","False","0"
"New-DMdTree","WebSession","True","True","False","0"
"New-DMFiberChannelInitiator","WebSession","True","True","False","0"
"New-DMFileSystem","accessTime","True","False","False","0"
"New-DMFileSystem","accessTimeUpdateMode","True","False","False","0"
"New-DMFileSystem","AlarmThresold","True","False","False","0"
"New-DMFileSystem","autoDeleteSnap","True","False","False","0"
"New-DMFileSystem","Autogrow","True","False","False","0"
"New-DMFileSystem","capacity","True","False","False","0"
"New-DMFileSystem","checkSumEnable","True","False","False","0"
"New-DMFileSystem","Compression","True","False","False","0"
"New-DMFileSystem","CompressionAlgorithm","True","False","False","0"
"New-DMFileSystem","Dedupe","True","False","False","0"
"New-DMFileSystem","description","True","False","False","0"
"New-DMFileSystem","FileSystemIOpriority","True","False","False","0"
"New-DMFileSystem","FileSystemName","True","False","True","0"
"New-DMFileSystem","readOnly","True","False","False","0"
"New-DMFileSystem","snapShotReserve","True","False","False","0"
"New-DMFileSystem","StoragePoolID","True","False","True","0"
"New-DMFileSystem","usage","True","False","False","0"
"New-DMFileSystem","WebSession","True","True","False","0"
"New-DMFileSystem","Worm","True","False","False","0"
"New-DMFileSystemSnapshot","WebSession","True","True","False","0"
"New-DMHost","WebSession","True","True","False","0"
"New-DMHostGroup","WebSession","True","True","False","0"
"New-DMIscsiInitiator","WebSession","True","True","False","0"
"New-DMLun","allocType","True","False","False","6"
"New-DMLun","capacity","True","False","True","2"
"New-DMLun","description","True","False","False","4"
"New-DMLun","EnableCache","True","False","False","12"
"New-DMLun","enableCompression","True","False","False","8"
"New-DMLun","enableDeduplication","True","False","False","9"
"New-DMLun","enableSmartTier","True","False","False","10"
"New-DMLun","IoPriority","True","False","False","7"
"New-DMLun","LunName","True","False","True","1"
"New-DMLun","mirrorPolicy","True","False","False","16"
"New-DMLun","prefetchPolicy","True","False","False","15"
"New-DMLun","readCachePolicy","True","False","False","14"
"New-DMLun","sectorSize","True","False","False","5"
"New-DMLun","StoragePoolID","True","False","True","3"
"New-DMLun","WebSession","True","True","False","0"
"New-DMLun","workloadTypeId","True","False","False","11"
"New-DMLun","writeCachePolicy","True","False","False","13"
"New-DMLunGroup","WebSession","True","True","False","0"
"New-DMLunSnapshot","SourceLunName","False","True","True","2"
"New-DMLunSnapshot","WebSession","True","True","False","0"
"New-DMLunSnapshotCopy","SourceSnapShotName","False","True","True","1"
"New-DMLunSnapshotCopy","WebSession","True","True","False","0"
"New-DMMappingView","WebSession","True","True","False","0"
"New-DMnfsClient","accessKrb5","True","True","False","0"
"New-DMnfsClient","accessKrb5i","True","True","False","0"
"New-DMnfsClient","accessKrb5p","True","True","False","0"
"New-DMnfsClient","clientName","True","True","True","0"
"New-DMnfsClient","Permission","True","True","False","0"
"New-DMnfsClient","permissionContraint","True","True","False","0"
"New-DMnfsClient","rootPermissionConstraint","True","True","False","0"
"New-DMnfsClient","shareId","True","True","True","0"
"New-DMnfsClient","sourcePortVerify","True","True","False","0"
"New-DMnfsClient","vStoreId","True","True","False","0"
"New-DMnfsClient","WebSession","True","True","False","0"
"New-DMnfsShare","dTree","True","True","False","0"
"New-DMnfsShare","encoding","True","True","False","0"
"New-DMnfsShare","FileSystemId","True","True","True","0"
"New-DMnfsShare","privateShare","True","True","False","0"
"New-DMnfsShare","sharepath","True","True","True","0"
"New-DMnfsShare","WebSession","True","True","False","0"
"New-DMNvmeInitiator","WebSession","True","True","False","0"
"New-DMPortGroup","WebSession","True","True","False","0"
"New-DMProtectionGroup","WebSession","True","True","False","0"
"New-DMSnapshotConsistencyGroup","WebSession","True","True","False","0"
"New-DMSnapshotConsistencyGroupCopy","WebSession","True","True","False","0"
"Remove-DMCifsShare","WebSession","True","True","False","0"
"Remove-DMDTree","WebSession","True","True","False","0"
"Remove-DMFiberChannelInitiator","WebSession","True","True","False","0"
"Remove-DMFiberChannelInitiatorFromHost","WebSession","True","True","False","0"
"Remove-DMFileSystem","WebSession","True","True","False","0"
"Remove-DMFileSystemSnapshot","WebSession","True","True","False","0"
"Remove-DMHost","WebSession","True","True","False","0"
"Remove-DMHostFromHostGroup","WebSession","True","True","False","0"
"Remove-DMHostGroup","WebSession","True","True","False","0"
"Remove-DMHostGroupFromMappingView","WebSession","True","True","False","0"
"Remove-DMIscsiInitiator","WebSession","True","True","False","0"
"Remove-DMIscsiInitiatorFromHost","WebSession","True","True","False","0"
"Remove-DMLun","WebSession","True","True","False","0"
"Remove-DMLunFromLunGroup","WebSession","True","True","False","0"
"Remove-DMLunGroup","WebSession","True","True","False","0"
"Remove-DMLunGroupFromMappingView","WebSession","True","True","False","0"
"Remove-DMLunSnapShot","SnapShotName","False","True","True","1"
"Remove-DMLunSnapShot","WebSession","True","True","False","0"
"Remove-DMMappingView","WebSession","True","True","False","0"
"Remove-DMNfsClient","WebSession","True","True","False","0"
"Remove-DMNfsShare","WebSession","True","True","False","0"
"Remove-DMNvmeInitiator","WebSession","True","True","False","0"
"Remove-DMNvmeInitiatorFromHost","WebSession","True","True","False","0"
"Remove-DMPortFromPortGroup","WebSession","True","True","False","0"
"Remove-DMPortGroup","WebSession","True","True","False","0"
"Remove-DMPortGroupFromMappingView","WebSession","True","True","False","0"
"Remove-DMProtectionGroup","WebSession","True","True","False","0"
"Remove-DMSnapshotConsistencyGroup","WebSession","True","True","False","0"
"Resize-DMLunSnapshot","SnapShotName","False","True","True","1"
"Resize-DMLunSnapshot","WebSession","True","True","False","0"
"Restart-DMLunSnapshot","SnapShotName","False","True","True","1"
"Restart-DMLunSnapshot","WebSession","True","True","False","0"
"Restart-DMSnapshotConsistencyGroup","WebSession","True","True","False","0"
"Restore-DMFileSystemSnapshot","WebSession","True","True","False","0"
"Restore-DMLunSnapshot","SnapShotName","False","True","True","1"
"Restore-DMLunSnapshot","WebSession","True","True","False","0"
"Restore-DMSnapshotConsistencyGroup","WebSession","True","True","False","0"
"Set-DMdnsServer","DNSserver","True","True","False","0"
"Set-DMdnsServer","WebSession","True","True","False","0"
